sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
simultaneous	adj::同时发生的	simultaneous interpretation::同声传译¦simultaneous translation::同声传译；同步翻译¦simultaneous measurement::同步量测；同时观测¦simultaneous equation::联立方程¦simultaneous operation::同时操作¦simultaneous interpreter::同声传译员¦simultaneous equation model::联立方程模式¦simultaneous transmission::同时传输；平行传递¦simultaneous observation::同步观测；联测法¦simultaneous processing::同时处理；同时模拟输入设备
static	adj::静止的，固定的¦n::静电干扰	static electricity::n. 静电；静位觉¦static state::静态状态¦static pressure::静压¦static load::静负载¦static analysis::静态分析¦static test::静态试验¦static strength::静强度；静力强度；静态性力量；静止强度¦static loading::静载荷；静负荷¦static data::静态数据¦static load test::静载荷试验；静负荷强度试验；静荷载试验¦static stability::静稳定性；定能稳定度¦static control::静态控制；静电控制；静态控件¦static characteristic::静态特性¦static force::静力；静力电流¦static equilibrium::静力平衡¦static mixer::静态混合器¦static friction::静摩擦；干摩擦；库仑摩擦¦static stress::静应力；静胁强¦static balance::[化]静平衡；静力平衡¦static stiffness::静态刚度
redundant	adj::多余的，过剩的	redundant information::冗余信息¦redundant system::[计]冗余系统¦redundant code::冗余码
be	auxiliary verb::at¦auxiliary verb::odds¦auxiliary verb::with¦sb与::有争执	so be it::诚心所愿；顺其自然¦let be::听任；不干涉，不打扰
elite	n&a::社会精华(的)，高贵者(的)	elite education::精英教育，英才教育
economic	adj::经济的；经济学的，便宜的	economic development::经济发展；经济开发¦economic growth::[经]经济增长，经济成长¦economic system::经济体制；经济体系，经济系统；经济制度¦economic globalization::经济全球化，全球化¦economic benefit::经济效益¦economic integration::经济一体化¦economic progress::经济发展；经济进步¦economic structure::经济结构，经济体制¦economic situation::经济形势，经济状况¦economic crisis::经济危机¦economic efficiency::经济效率¦economic construction::经济建设¦regional economic::地区经济；地域经济¦economic policy::经济政策¦economic cooperation::经济合作¦economic zone::经济特区；经济圈；经济地带¦economic activity::经济活动¦economic recovery::经济复苏；经济采收率¦economic environment::经济环境¦economic value::经济价值；经济有效值
destine	v::命中注定；预定	
janitor	n::看门人，管门人	
thermometer	n::温度计	infrared thermometer::红外测温仪；红外线温度计¦digital thermometer::数字（式）温度计¦clinical thermometer::体温计，体温表¦resistance thermometer::电阻温度计¦bimetallic thermometer::双金属温度计
advertise	v::做广告	advertise for::登广告征求（寻找）某物；登招请（待聘等）广告
commence	v::开始	commence business::开始营业
project	n::方案，计划¦v::设计；投影；抛	project oneself::表现自己；突出自己¦project management::项目管理；专案管理¦construction project::建筑计划，建设项目；基建计划¦project cost::工程项目成本；施工费用¦engineering project::工程项目¦project manager::项目经理¦research project::研究项目¦development project::开发项目；发展计划¦project team::项目工作组；攻关队伍¦investment project::投资项目；投资计划¦three gorges project::三峡工程¦project planning::项目规划；工程规划；计划图编制¦project implementation::项目执行；项目实现¦project financing::项目融资；项目资金筹措¦key project::重点项目，关键项目；枢纽工程¦project plan::n. 项目规划；工程计划¦pilot project::试点项目，试点工程；样板工程，样板设计¦graduation project::毕业设计¦project evaluation::项目评估；工程评定¦power project::动力工程
retail	n&v::零售，零卖	retail business::零售业务；小生意¦retail price::零售价¦retail trade::零售业¦retail market::零售市场¦retail store::零售商店¦retail chain::连锁店；零售联营¦at retail::零售¦retail banking::零售银行业务；小额银行业务¦retail sale::零售销售¦retail outlet::零售商店；零售门路¦retail shop::零售店；分销店¦retail bank::零售银行；商业零售银行¦retail price index::零售价格指数¦retail merchant::零售商¦retail dealer::零售商¦retail selling::零星销售
rear	n::后部，后面¦vt&vi::培植，饲养	front and rear::在前后¦rear axle::后桥；后轴¦rear wheel::后轮；后车轮¦rear end::n. 臀部；后部¦rear area::大后方；后方地域¦rear view::后视图¦rear view mirror::后视镜¦rear seat::后座；后座椅¦rear suspension::后悬吊，后悬吊系统；后悬挂装置¦rear door::后门；后门板；后车门¦in the rear of::adj. 在...的后部（在...的背后）¦rear bumper::后保险杠；后档¦rear side::后侧；背部¦rear spoiler::后扰流板¦rear projection::背面投影；尾部投影¦rear guard::后卫部队；殿后¦rear brake::后煞车器；后轴制动器¦rear admiral::海军少将¦rear window::后窗，后窗玻璃；后挡风玻璃¦rear axle housing::后桥壳；后轴套；后轴壳
vital	adj::生命的；必需的；极期重要的	vital part::要害部位¦vital energy::生命力¦vital force::n. 生机；生命力¦vital capacity::[医]肺活量¦vital function::重要作用；生命机能¦vital statistics::人口动态统计；生命的统计资料¦vital interest::切身利益；重大利益¦vital point::要点¦vital sign::生命征；生命迹象
mission	n::代表团；使命	mission statement::宗旨¦space mission::太空任务；航天任务¦mission impossible::不可能的任务，棘手的任务¦rescue mission::营救任务，救助任务；抢险救援任务¦mission control::太空航行地面指挥中心¦diplomatic mission::使馆；外交使团¦mission critical::关键任务¦trade mission::贸易代表团；贸易访问团¦mission in life::天职¦business mission::经营使命，出差；企业代表团¦military mission::军事任务¦mission accomplished::任务完成¦mission school::n. 教会学校¦fact-finding mission::情况考察；真相调查团；实况调查组
paralyse	v::使麻痹，使瘫痪	
massive	adj::巨大的	massive retaliation::大规模报复
glacier	n::冰河，冰川	glacier national park::冰河国家公园；国家冰川公园（美国）
oxide	n::[化]氧化物2003-2-23 16:18:00举报帖子	zinc oxide::n. 氧化锌¦nitric oxide::氧化一氮¦iron oxide::氧化铁¦metal oxide::n. 金属氧化物；金属氧化物电阻；金属绝缘膜¦oxide film::氧化膜；氧化物保护膜¦ethylene oxide::环氧乙烷；乙撑氧¦aluminum oxide::氧化铝；铝氧土（等于alumina）¦propylene oxide::氧化丙烯¦magnesium oxide::[化]氧化镁¦ferric oxide::三氧化二铁，氧化铁¦aluminium oxide::氧化铝¦calcium oxide::氧化钙，生石灰¦nitrogen oxide::氧化氮；氮的氧化物¦tin oxide::二氧化锡¦titanium oxide::三氧化钛¦copper oxide::[医]氧化铜¦nitrous oxide::[化]一氧化二氮；笑气（等于laughing gas）¦oxide layer::氧化层¦manganese oxide::氧化锰¦cobalt oxide::氧化钴
occur	v::发生；想起，想到；存在	occur as::以...的形式出现¦occur for::发生在…时候
carry	v::传送，运送；带有；支持；赞同	carry out::vt. 执行，实行；贯彻；实现；完成¦carry on::继续¦carry forward::发扬；推进¦carry through::贯彻；完成；坚持下去¦carry in::携带；输入¦carry with::进行¦carry on with::继续；与…调情¦carry around::随身携带¦carry away::运走；使失去自制力¦carry off::夺去；获得；使丧命；成功地处理¦carry over::..留到以后处理；继续存在¦fetch and carry::做杂务，打杂¦carry trade::套利交易；套息交易；利差交易；息差交易¦carry about::带着；随身携带¦carry the torch::开战；奋斗；单恋¦carry weight::有影响；重要；有分量¦carry up::建高（房屋），追溯¦carry back::vt. 运回；拿回；使回想；使回忆起¦carry bag::n. 手提袋；厚纸袋¦carry the can::代人受过；背黑锅；单独承担困难的任务
loan	n::借出物，贷款；借出¦v::借	on loan::借用；借贷；借调¦bank loan::银行贷款¦mortgage loan::按揭贷款；抵押借款¦loan interest::贷款利息¦student loan::助学贷款¦loan contract::贷款合同¦loan guarantee::贷款担保，借款保证函¦loan period::借期，借书期限；租借期限¦personal loan::n. 个人贷款¦loan repayment::归还贷款，偿还借款¦housing mortgage loan::住房抵押贷款¦loan agreement::贷款协议；借款合同¦interlibrary loan::馆际互借；馆际合作¦loan application::贷款申请¦bad loan::呆帐，坏帐；迟还贷款¦syndicated loan::[经]财团放款¦loan officer::信贷员；贷款人员；信贷主管¦commercial loan::商业贷款¦credit loan::信用贷款¦non-performing loan::不良贷款，不履约贷款；非营运贷款
overlook	v::俯视；忽略；宽恕	
periscope	n::潜望镜	
typical	adj::典型的	typical of::是……的典型特征¦typical form::典型式，代表式¦typical project::样板工程¦typical method::典型的方法¦typical curve::标准曲线，典型曲线¦typical analysis::典型分析¦typical data::典型数据[资料]¦typical section::典型横切面；标准断面¦typical environment::典型环境¦typical value::典型值；范值；代表值；平均数
priority	adj::优先权	give priority to::优先考虑；认为优先¦top priority::最优先的¦first priority::最优先；绝对优先权¦high priority::n. 高优先级¦higher priority::较高优先级¦low priority::低优先级¦lower priority::次重要优先项目(或问题)¦priority mail::优先邮件（美国邮政的邮件类型之一，在邮件分检系统内享有优先处理的特权）¦order of priority::优先秩序，轻重缓急次序¦priority date::优先日期¦priority level::优先等级¦priority control::优先级控制¦priority queue::优先排队¦priority setting::制定优先次序；优先级设立¦according to priority::依次¦relative priority::相对优先求偿权¦elderly persons priority scheme::共享颐年优先配屋计划
weave	vt&vi::织，编；编排；迂回	plain weave::平纹梭织，平纹布；平布¦twill weave::斜纹组织；斜纹织；斜织法¦satin weave::缎织；缎纹组织¦weave structure::织物组织¦weave through::穿梭¦weave into::把...交织在一起
overt	adj::公开的，明显的，公然的	
flank	n&vi::胁，侧翼，包抄的侧翼	tooth flank::齿腹¦flank wear::侧面磨损
overcome	v::克服；压倒	overcome difficulties::克服困难；战胜困难
alter	v::改变，改做	alter ego::n. 密友；个性的另一面；至交
interval	n::间隔的时间，间隔；间歇	time interval::时间间隔¦at intervals::时时，不时；相隔一定距离（或时间）¦confidence interval::置信区间，可靠区间¦in the interval::在这一期间；在间隔时¦interval analysis::[计]区间分析¦sampling interval::采样间隔¦interval estimation::区间估计；区间推定¦temperature interval::温度间距，温度间隔；温度范围¦closed interval::[数]闭区间¦sample interval::取样间隔¦recurrence interval::重现期，重复周期；脉冲周期¦unit interval::单位间隔；单位时间¦maintenance interval::（飞机发动机的）维修间隔期¦interval estimate::区间估计¦spacing interval::间隔时间¦space interval::空间间隔
sheer	adj::全然的，绝对的	sheer nonsense::一派胡言
