internship	n::<美>实习医师	internship programs::实习计划；实习课程
cerebral	adj::理智的	cerebral infarction::脑梗死；脑梗塞¦cerebral ischemia::脑缺血；大脑局部缺血¦cerebral hemorrhage::脑出血；大脑出血¦cerebral palsy::n. [医]大脑性麻痹¦cerebral cortex::大脑皮层¦cerebral apoplexy::脑溢血¦cerebral edema::[医]脑水肿¦cerebral thrombosis::脑血栓形成；脑血栓症¦cerebral hemisphere::大脑半球¦cerebral arteriosclerosis::脑动脉硬化¦cerebral embolism::[医]脑栓塞¦cerebral concussion::脑震荡¦cerebral angiography::脑血管造影术¦cerebral aneurysm::脑动脉瘤¦cerebral contusion::脑挫伤
omnipresent	adj::无处不在的	
pathology	n::病理学	plant pathology::植物病理学¦clinical pathology::临床病理学¦forensic pathology::法医病理学
stigmatize	v::使耻辱	
bland	adj::平淡乏味的	
extrovert	n::外向	
introvert	n::内向	
contemplation	n::沉思	
heed	n&v::注意；留心	
cognition	n::认知	social cognition::社会认知¦cognition process::认知过程¦cognition practice::认知实践；熟悉实习
suppression	n::镇压；压制	noise suppression::噪声抑制¦fire suppression::灭火；火灾扑救¦interference suppression::[计]干扰抑制¦dust suppression::粉尘消除；除尘措施；粉尘抑制¦arc suppression coil::消弧线圈，灭弧线圈¦suppression filter::抑制滤波器
inhibit	v::抑制	
obstruct	v::阻碍	
tussle	n::争斗，打斗	
hone	v::磨练	
ample	adj::足够的，丰富的	ample evidence::充分证据
handicap	n::障碍	mental handicap::心理缺陷；心智障碍¦physical handicap::身体缺陷；生理缺陷
ascending	adj::上升的	ascending order::升序¦ascending aorta::升主动脉；上行织脉[医]¦ascending colon::升结肠；上行结肠¦ascending motion::上升运动¦ascending pipe::直管；注入管；增压管¦sort ascending::n. [计]升序
denote	v::表示，表明	
whilst	conj::同时	
homophones	n::同音同形异义词	
arbitrarily	adv::武断地；专横地	
convict	v::证明...有罪	
malnutrition	n::营养不良	
famine	n::饥荒	
adolescence	n::青春期	late adolescence::青春晚期
tavern	n::酒馆	
discursive	adj::不着边际的	
initiative	n::行动，主动性	take the initiative::采取主动；带头¦on one's own initiative::主动地¦subjective initiative::主观能动性¦have the initiative::掌握主动¦take initiative::积极主动¦learning initiative::学习积极性¦peace initiative::和平倡议，倡议和平；和平的开端¦proliferation security initiative::防扩散安全倡议
whistleblower	n::告密者	
footage	n::电影片段	square footage::建筑面积
scrupulous	adj::严谨的，小心的	
vociferous	adj::喧闹的	
stridently	adv::刺耳地	
strikingly	adv::引人注目地	
pamphlet	n::小册子，手册	
roomy	adj::宽敞的	
profound	adj::意义深远的	
filter	v::过滤	kalman filter::卡尔曼滤波器¦air filter::空气过滤器¦digital filter::数字滤波器¦bag filter::袋式过滤器；袋滤器¦filter press::压滤机¦filter paper::滤纸（尤制定量滤纸）¦filter material::过滤材料¦filter out::过滤掉；不予注意；泄露¦adaptive filter::自适应滤波器¦filter system::过滤系统；过滤装置¦pass filter::过滤器¦oil filter::滤油器；机油滤清器¦filter element::过滤芯；滤波元件¦low-pass filter::[电]低通滤波器¦ceramic filter::陶瓷过滤器¦vacuum filter::真空滤器¦filter cake::滤饼¦filter bag::过滤袋¦pressure filter::压力式过滤器¦belt filter::带式过滤机
conduit	n::导管，渠道	conduit system::导管系统；暗线装置系统¦gas conduit::气体导管，煤气管道¦conduit pipe::导管；地下线管¦electrical conduit::电缆；引出线管¦pressure conduit::压力管道，加压导管¦underground conduit::地下管路
anonymous	adj::匿名的	alcoholics anonymous::匿名戒酒互助社；慝名戒毒会
baron	n::男爵；大亨	
reserved	adj::矜持的	rights reserved::保留权利¦all rights reserved::版权所有¦all right reserved::保留一切权力¦reserved area::保留区¦copyright reserved::[法]著作权所有¦reserved word::[计]预定字；[计]保留字；[计]关键词¦reserved copy::正本；保留本
ambiguous	adj::模棱两可的	
skeptical	adj::怀疑的	
chic	n::时髦的	
decadence	n::颓废	
hype	n::夸大的广告	media hype::媒体炒作（媒体制造的潮流泡沫）
blockbuster	n::了不起的事物	hollywood blockbuster::好莱坞大片
pornography	n::色情文学	child pornography::儿童色情作品
swing	v::摇晃	in full swing::活跃；正在全力进行中¦full swing::达到活动的高潮；全力进行中¦go with a swing::v. 顺利进行；节奏轻快¦swing angle::旋角；偏转角¦swing from::悬挂¦swing arm::摇动臂¦swing by::用…吊挂；路经；短暂拜访¦swing one's weight::发挥个人的影响(或权势)¦swing of the pendulum::◎钟摆的摆动¦swing door::回转门；两面皆可推拉开关的门¦swing out::内关门；外摆式；向舷外转¦swing mechanism::旋转机构；回转机构¦swing check valve::旋启式止回阀；摆动式止回阀¦pendulum swing::测锤摆幅¦swing motion::摇动
condescension	n::屈尊	
condescend	v::屈尊	
impulse	n::冲动	impulse response::脉冲响应¦on impulse::一时冲动，一时心血来潮¦impulse noise::脉冲噪声，冲激噪声¦impulse voltage::冲击电压；冲荤压；脉冲电压¦impulse response function::响应函数；脉冲响应函数；反应函数¦impulse control::脉冲控制；冲动控制¦specific impulse::比冲量；比推力¦nerve impulse::[医]神经冲动¦impulse test::[电]冲击试验¦impulse force::冲击力¦impulse turbine::冲力式涡轮机；冲击式汽轮机；水戽式（冲击式）水轮机¦impulse function::脉冲函数；冲力函数；冲击函数¦impulse buying::即兴购买；未经考虑仅凭一时冲动的购物行为
bountiful	adj::丰富的，充裕的	
hangar	n::飞机库	
scoop	v::抓取，舀	scoop out::舀出，挖出；接应¦scoop up::用铲子取；兜接，舀上来
mandate	v::命令	
gross	adj::全体的，总的	gross domestic product (gdp)::国内生产总值¦gross domestic product::国内生产总值¦gross domestic product (GDP)::国内生产总值¦gross national product::国民生产总值¦gross national product (GNP)::国民生产总值（等于GNP）¦gross national product (gnp)::国民生产总值（等于GNP）¦gross income::总收入，总收益¦gross area::总面积；建筑毛面积¦gross profit::毛利；总利润¦gross margin::[经]毛利¦in gross::大体上；大批地；以批发方式（等于by the gross）；[古语]整体地；全盘地¦gross weight::毛重，总重量¦gross error::严重错误；过失误差¦gross value::总值；生产性固定资产总值¦gross negligence::重大过失；严重过失；显著的疏忽¦in the gross::大体上；总的说来；大量地¦gross output::总产量¦gross anatomy::[医]大体解剖学¦gross tonnage::总吨位¦gross floor area::建筑毛面积；总楼面面积
innately	adv::本质地，固有地	
amenity	n::福利；愉快，便利设施	
surly	adj::脾气坏的	
aura	n::气氛	devotion aura::虔诚光环；专注光环；热血灵光
ardent	adj::热情的	
flaunt	v::炫耀	
allure	n::诱惑	
lure	n&v::诱惑	
preemptive	adj::先发制人的	preemptive right::优先购买权；股票先买权¦preemptive strategy::预先占有法则；先发制人战略；抢先战略
snobby	adj::势利的	
pantomime	n::哑剧	
demeanor	n::行为	
wince	v::畏缩，皱眉	
haggle	v::讨价还价	
incentive	n::刺激	incentive mechanism::激励机制¦incentive system::奖励制度，激励制度¦incentive theory::激励理论；诱因论¦incentive plan::奖励计划，奖金计划¦economic incentive::经济激励，经济刺激；经济诱因¦incentive compatibility::激励相容；剌激的协调性¦incentive compensation::奖金¦material incentive::物质剌激，物质鼓励¦incentive pay::奖金，奖励津贴；奖励工资，激励工资¦tax incentive::税收鼓励¦positive incentive::正诱因，正激发
serene	adj::静谧的，平静的	all serene::[俚语]
bluff	n::虚张声势	bluff body::钝头体；阻流体¦bluff it out::伪装而得以幸免；蒙混过关
outright	adj::彻底的	outright sale::直销；卖断
luster	n::光泽	metallic luster::金属光泽；金属闪光料¦pearly luster::珍珠光泽¦bright luster::镜面光泽
wanton	adj::无节制的	
solicitousness	n::渴望，殷勤	
tinge	v::着色，微染色	
decry	v::反对，谴责	
stud	v::用饰钉装饰	stud welding::柱焊，嵌柱焊接；螺柱焊接；电栓焊¦stud bolt::双头螺栓
trauma	n::创伤；痛苦的经历	trauma center::创伤中心；外伤中心¦psychic trauma::精神创伤¦emotional trauma::情绪创伤¦trauma surgery::创伤外科
frugality	n::节俭	
arable	adj::适合耕种的	arable land::耕地；可耕土地
onomatopoeia	n::拟声	
interrogative	adj::提问；质问的	interrogative sentence::疑问句¦interrogative pronoun::疑问代词
denominator	n::水平，标准	common denominator::[数]公分母
impotent	adj::无力的	
rivalry	n::对抗	sibling rivalry::同胞争宠；手足之争
abuse	v&n::虐待，谩骂	drug abuse::药物滥用；毒品滥用¦child abuse::虐待儿童，摧残儿童¦substance abuse::物质滥用；滥用药物¦sexual abuse::性虐待¦abuse of power::滥用权力¦alcohol abuse::酒精滥用，酗酒¦physical abuse::躯体虐待；身体伤害；外观损坏¦verbal abuse::言语虐待；口头谩骂；说粗话，用污言秽语¦sex abuse::性虐待（等于sexual abuse）¦emotional abuse::精神虐待
oblivious	adj::遗忘的；忘却的	
scarcity	n::缺乏，不足	water scarcity::水短缺，水荒
infiltrate	v::渗入，使潜入	
cascade	n::小瀑布	cascade control::串级控制；[计]级联控制¦cascade development::梯级开发；干显影¦cascade system::串级系统¦cascade impactor::阶式碰撞取样器
trump	v::胜过	donald trump::唐纳德·特朗普（美国地产大亨）
crunch	v::嘎嘎作响；	credit crunch::信贷紧缩；信贷危机（等于credit crisis）¦crunch time::关键时刻；关键时间
outrageous	adj::暴怒的，令人吃惊的	
invidiously	adv::招人怨恨地，不公平地	
extracurricular	adj::课外的	extracurricular activity::课外活动
fraternity	n::兄弟会，兄弟情	
veteran	n::老兵；老手	
affection	n::喜爱	
boggle	v::犹豫，退缩；搞糟，弄坏	
alumni	n::男校友；男毕业生（alumnus的复数）	alumni association::校友会
alumna	n::女毕业生；女校友	
cruise	v::巡航，巡游	tom cruise::汤姆·克鲁斯（美国著名影星）¦cruise missile::n. 巡航导弹¦cruise ship::游轮，游艇¦cruise control::恒速操纵器
affinity	n::亲密关系	affinity chromatography::亲和色谱法¦electron affinity::电子亲合性
hostile	adj::有敌意的	hostile takeover::恶性接收；敌意接管
rhetorical	adj::修辞的	rhetorical question::反问；设问；修辞性疑问句
prelude	n::前奏，序曲	
stocky	adj::健壮的；结实的，矮壮的	
stoop	v&n::门廊；弯腰，屈背；	stoop to something::◎委曲以求，曲意迎合
squirt	n::傲慢无礼的年轻人；¦v::喷射	squirt gun::水枪
session	n::开会，会议	plenary session::全体大会¦training session::练习课；培训课程；训练项目¦in session::在开庭；在开会；在上课¦session key::会话密钥；对话关键码¦special session::特别会议；特别法庭¦practice session::练习赛；实习期¦opening session::开幕式；开幕会议¦briefing session::简介会¦legislative session::议会会议；立法会会期¦work session::工作对话；工作会话¦joint session::上下两议院的联席会议¦session manager::会话管理器；对话管理员；对话管理程序¦morning session::早市；前市；上午市¦outreach session::扩大会议¦executive session::（美）秘密会议；行政会议（常秘密举行）¦summer session::暑期班；暑假辅导；夏季学期¦recording session::录音场次；录音时间¦secret session::秘密会议¦regular session::例会¦session control::对话控制，会话控制
pave	v::铺设	pave the way for::为…做好准备；为…铺平道路¦pave the way::为...作准备；为...铺平道路¦paved with good intentions::充满着善意的
legacy	n::遗产	legacy system::遗留系统
totalitarian	adj&n::极权主义者	
refute	v::反驳，驳斥	
unveil	v::揭露	
subdue	v::政府，克制	
episode	n::插曲；一段情节	
compassionate	adj::同情的	
sage	n::胜任，贤人¦adj::精明的，贤明的	
emancipator	n::解放者，释放者	
magnitude	n::重要性；大小	order of magnitude::数量级¦earthquake magnitude::地震震级，地震等级；地震规模¦absolute magnitude::绝对星等；绝对量级¦signal magnitude::信号幅度
rectify	v::纠正，改正	
disparage	v::贬低，诋毁	
implicitly	adv::暗示地，含蓄地，隐晦地	
gulp	v::（因紧张或兴奋）倒吸气	gulp down::狼吞虎咽地吃；忍住
ledge	n::壁架；窗台	
thoroughfare	n::大道	
subdued	adj::含蓄的，不强烈的	
institutionalized	adj::制度化的	
cynical	adj::愤世嫉俗的=unbelieving or sarcastic	
