internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
pertinent	'pɝtnənt	ˈpɜ:tɪnənt	adj::有关的	pertinent data::有关资料，相应的资料	He asked me a lot of very pertinent questions .::他问了我许多直接相关的问题。
drought	draʊt	draʊt	n::干旱（时期），旱季	drought resistance::耐旱性，抗旱性¦drought relief::干旱救灾¦drought control::抗旱；防旱	...a country where drought and famines have killed up to two million people during the last eighteen years.::…过去18年来干旱和饥荒致死达两百万人的一个国家。
gallon	'ɡælən	ˈgælən	n::加仑（容量单位）		a 20 gallon fish tank::一个20加仑的鱼缸¦The car does about 50 miles per gallon.::这辆车每加仑油能开50英里左右。
warranted	'wɔrənt	'wɒrəntɪd	adj::（制造商）担保的，保证的	arrest warrant::逮捕证¦search warrant::［法］搜查证	Due to the complexity of the compliance domain, an organization is unlikely to undergo successful audits if the required evidence is not readily available or cannot be warranted to be genuine.::根据法规遵循域的复杂性，如果不能容易地获取需求证据或是不能保证其真实性，一家企业是不可能成功通过审核的。
inference	'ɪnfərəns	ˈɪnfərəns	n::推理； 推断	inference engine::[计]推理机¦statistical inference::[统]统计推断¦inference method::n. 推理方法¦by inference::根据推理¦bayesian inference::贝叶斯推理¦inductive inference::归纳推理¦deductive inference::演绎推理¦inference rule::推理规则	There were two inferences to be drawn from her letter.::从她的来信可以得到两种推论。
adversarial	,ædvɚ'sɛrɪəl	ˌædvəˈseəriəl	adj::敌手的，对手的		the adversarial nature of two-party politics::两党政治的对抗性
implication	'ɪmplɪ'keʃən	ˌɪmplɪˈkeɪʃn	v::涉及	by implication::含蓄地；暗示地	The implication is that you may need to track all changes to your process, the reason why you made each change, and when the change was made to conform to these regulations.::这含义是您可能需要追踪对您的过程进行的所有的变更，您为什么进行每个变更的原因，以及为了遵守这些法规，什么时候进行的变更。
intimate	ˈɪntəmɪt	ˈɪntɪmət	adj::亲密的，亲近的	intimate relationship::亲密的关系¦intimate friend::知交，知己¦intimate contact::亲密接触	an intimate friend of Picasso’s::毕加索的一个密友¦an intimate relationship::亲密的关系¦She’s on intimate terms with people in government.::她与政府官员关系密切。
residue	'rɛzɪdu	ˈrezɪdju:	n::残余，残渣	pesticide residue::[药]农药残留（量）¦oil residue::油渣，油残留物；残油¦carbon residue::焦炭残渣；炭渣¦filter residue::[化]滤渣¦amount of residue::残留量¦amino acid residue::氨基酸残基¦quadratic residue::二次剩余¦solid residue::固体残渣	The flies leave a sticky residue on crops.::苍蝇在庄稼上留下黏糊糊的分泌物。¦Rinse off any soap residue.::冲净残留的肥皂。
tactics	'tæktɪks	'tæktɪks	n::战术； 策略		Of course I wonder if happiness tactics that come from someone elsecan ever stick.::当然我怀疑来自与某人的快乐策略是否对其他人有用。¦I think it will also point to areas where we can do better and can make improvements in our strategy and tactics," he said.::我认为，报告还会指出在哪些领域我们能够做得更好，还有我们可以在哪些领域提高我们的策略和战术。
dialectical	,daɪə'lɛktɪkl	ˌdaɪə'lektɪkl	adj::方言的，辩证的	dialectical materialism::n. 辩证唯物主义	The essence of dialectical thought is division.::辩证思想的实质是二分法。
namely	'nemli	ˈneɪmli	adv::即，也就是说		Three students were mentioned, namely John, Sarah and Sylvia.::有三名学生被提到，即约翰、萨拉和西尔维娅。
paradigm	'pærə'daɪm	ˈpærədaɪm	n::范例，样式	paradigm shift::典范转移；思考模式的转移	...a new paradigm of production.::…一种新的生产范例。
polarize	'polə'raɪz	ˈpəʊləraɪz	v::使两极分化		The issue has polarized the country.::这个问题使整个国家变得两极化。
proponent	prə'ponənt	prəˈpəʊnənt	n::支持者，拥护者		Halsey was identified as a leading proponent of the values of progressive education.::哈尔西被认为是进步教育价值观的首要支持者。
synch	siŋk	sɪŋk	v::同时发生，同步		By using a Recovery Protocol, we can stay in synch with our overall vision, values, and goals during the rough times.::通过利用恢复协议，在艰难时期，我们可以与我们整个的视界、价值和目标保持同步。¦If it becomes clear that your systems' times are not in synch, then I suggest you look into the various means available to you for synchronizing them (see  Resources for a link).::如果明显看出系统的时间不同步，那么我建议您研究一下可用于同步它们的各种可用途径（请参阅  参考资料以获得链接）。
platitude	'plætɪtud	ˈplætɪtju:d	n::陈词滥调		His excuse was the platitude ‘boys will be boys.’::他还是那一套理由:“男孩总归是男孩。”
pretext	'pritɛkst	ˈpri:tekst	n::借口，托辞	on the pretext of::以...为借口¦find a pretext for::为…找口实	He’ll phone on some pretext or other.::他会以这样或那样的理由打电话的。
hurdle	'hɝdl	ˈhɜ:dl	n::障碍，困难	hurdle race::n. 障碍竞赛；跳栏赛跑	Finding enough money for the project was the first hurdle.::第一道难关是为该项目筹措足够的资金。
chastise	tʃæ'staɪz	tʃæˈstaɪz	v::严惩（某人）		‘You’re a fool,’ she chastised herself.::“你真傻。”她自责道。
speculative	'spɛkjələtɪv	ˈspekjələtɪv	adj::投机的； 思考的	speculative capital::投机资本¦speculative knowledge::理论知识¦speculative market::投机市场	speculative investments::投机性的投资
tidbit	'tɪd'bɪt	ˈtɪdbɪt	n::趣闻		On Fleet Street, we call it “the mass doorstep” when a crowd of reporters will wait and wait for hours in hope of a tidbit of news on a developing story.::在英国新闻界，我们将这种情况称为"守望门庭"，即一群记者长时间地苦苦守候，希望得到一些有关正在发生的事件的消息。
rarity	'rɛrəti	ˈreərəti	n::稀有，罕见		Visitors were a rarity in the village.::村里极少有外人来。
numb	nʌm	nʌm	adj::麻木的，失去感觉的		My fingers were so numb I could hardly write.::我的手指麻木得几乎没法写字。¦The anaesthetic made his whole face go numb.::麻醉剂使他整个脸都失去了知觉。
marijuana	,mærə'wɑnə	,mærɪ'hwɑːnə	n::大麻		He was switched on after smoking some marijuana.::吸了几口大麻后，他兴奋起来了。¦Unfortunately, the US does not discriminate between hemp and marijuana, so growing it for food and fiber in this country is illegal.::不幸的是，美国不区分毒品大麻和能量大麻，因此在该国把它添加它到粮食和用作提取纤维是非法的。
diarrhea	,daɪə'riə	,daɪə'riə	n::腹泻	infantile diarrhea::幼儿腹泻；婴儿腹泻	Never prepare food for others if you have diarrhea or vomiting.::如果你腹泻或呕吐，千万不要为他人准备食物。¦And the little buggers also use our attempts to expel them with vomiting and diarrhea.::还有，这小家伙也利用了我们试图通过呕吐和腹泻来驱逐来的尝试。¦Do you have any other symptoms, such as nausea, vomiting, diarrhea, back pain, dizziness or headache?::还有其他症状吗，比如说恶心，呕吐，腹泻，背痛，头晕或头痛的？
sanitation	,sænɪ'teʃən	sænɪ'teɪʃ(ə)n	n::卫生设备，卫生环境	environmental sanitation::环境卫生¦food sanitation::食品卫生¦sanitation worker::环卫工人	Overcrowding and poor sanitation are common problems in prisons.::过度拥挤和卫生状况差是监狱里的普遍问题。
frenetic	frə'nɛtɪk	frə'netɪk	adj::发狂的，狂热的		She rushes from job to job at a frenetic pace.::她发疯似的不停地跳槽。
indulgence	ɪn'dʌldʒəns	ɪn'dʌldʒ(ə)ns	n::沉溺；放纵		The king's indulgence toward his sons angered the business community.::国王对孩子们的纵容激怒了商界。
extravagant	ɪk'strævəgənt	ɪk'strævəg(ə)nt	adj::过度的；浪费的，奢侈的		Would it be too extravagant to buy both?::把两个都买下会不会太奢侈了？¦an extravagant lifestyle::奢侈的生活方式
plausible	'plɔzəbl	'plɔːzɪb(ə)l	adj::可信的，貌似合理的		His story certainly sounds plausible.::他的叙述听上去当然很合理。¦a plausible explanation::说得过去的解释
ritual	'rɪtʃuəl	'rɪtʃʊəl	n::仪式，惯例	ritual dance::仪式之舞；祭祀之舞	ancient pagan rituals::古老的异教仪式¦the importance of religion and ritual in our lives::我们生活中宗教和宗教仪式的重要性¦The lady of the house performs the sacred ritual of lighting two candles.::由女主人来完成点燃两根蜡烛的神圣仪式。
corollary	'kɔrəlɛri	kə'rɒlərɪ	n::必然的结果；推论	corollary equipment::配套设备	The number of prisoners increased as a corollary of the government's determination to combat violent crime.::政府决心打击暴力犯罪，其后果是囚犯数量增加了。
instinct	'ɪnstɪŋkt	'ɪnstɪŋ(k)t	n::本能，天性	by instinct::出于本能¦instinct for::有…的天分；生来就¦on instinct::本能，凭直觉¦killer instinct::杀生本能¦maternal instinct::n. 母性本能¦animal instinct::动物本能；野兽直觉¦basic instinct::本能¦herd instinct::[心]群居本能，群体心理	Her instinct told her that something was wrong.::直觉告诉她有些不对劲。
revelation	'rɛvə'leʃən	revə'leɪʃ(ə)n	n::启示；揭露		...following the revelation of his affair with a former secretary.::…在他和前任秘书的风流韵事被揭露之后。
indignant	ɪn'dɪɡnənt	ɪn'dɪgnənt	adj::愤慨的，愤怒的		an indignant reply::愤慨的回复
docile	ˈdoʊˌsaɪl	'dəʊsaɪl	adj::温顺的，容易教的		Labradors are gentle, docile dogs.::拉布拉多犬温和驯服。
disobedient	'dɪsə'bidɪənt	dɪsə'biːdɪənt	adj::不服从的，违背的		Her tone was that of a parent to a disobedient child.::她的声音听上去好像家长在教训不听话的小孩。
fickleness	'fɪkəlnəs	'fɪklnəs	n::浮躁，变化无常		His story became a parable for the fickleness of art and life.::他的故事成为一个说明艺术与生活变化无常的寓言。
gratitude	'ɡrætɪtud	'grætɪtjuːd	n::感激，感谢	gratitude to sb::感激某人¦express gratitude::表达感谢¦debt of gratitude::人情债	Tears of gratitude filled her eyes.::她眼里充满感激的泪水。
betray	bɪ'tre	bɪ'treɪ	v::出卖，背叛	betray oneself::原形毕露	He felt that she had betrayed him.::他感觉她背叛了自己。¦She had betrayed her parents' trust .::她辜负了父母对她的信任。¦I would never betray a confidence (=  tell a secret that someone has trusted me with  ) .::我永远不会泄露秘密。
begrudging		bi'grʌdʒiŋ	adj::吝惜的；勉强的；妒忌的		
conspire	kən'spaɪɚ	kən'spaɪə	v::共同促成；密谋		They'd conspired to overthrow the government.::他们曾合谋推翻政府。
steadfastness		'stedfa:stnis	n::坚定不移		For that steadfastness and courage, he'll always be our hero.::由于他的坚定和勇敢，他将是我们永远的英雄。¦Kao's Chinese restaurant to praise him for his steadfastness in protecting America's (read: our) interests.::Kao's中餐馆共进晚餐，并赞扬了他在保护写作美帝读作我朝的国家利益中体现出的坚定不移的立场。¦The former American President George Bush Senior, now 85, praised his former Soviet counterpart Mikhail Gorbachev for what he called his steadfastness in the face of immense challenges.::现年85岁的前美国总统布什称赞前苏联领袖戈尔巴乔夫面临巨大挑战时的坚定不移。
tenacity	tə'næsɪti	'stedfa:stnis	n::固执；不屈不挠	high tenacity::高韧性；高韧度¦breaking tenacity::断裂强度；扯断力	Talent, hard work and sheer tenacity are all crucial to career success.::才能、勤奋和百分之百的执著对事业成功都是至关重要的。
stubbornly	'stʌbɚnli	'stʌbɚnli	adv::固执地		And for those who stubbornly suggest pricing above what I believe the market will bear, I say 'best of luck to you.::对于那些顽固地要求比我认为市场能承受的更高的价码的卖主，我会说上一句：“祝您好运”。¦Yet the education system—with its continued emphasis on facts and figures and drilling of mental arithmetic—has remained stubbornly rooted in the past.::但是日本的教育系统——仍在强调事实和数字以及心算的训练——仍固执的深深扎根在过去的土壤之中。¦People often stubbornly think they are different, especially in a large company such as IBM, whose environments are large and complex.::人们经常顽固地认为他们是不同的，特别是在公司环境大而复杂的大型公司，例如 IBM。
totter	'tɑtɚ	'tɒtə	v::踉跄，蹒跚		Lorrimer swayed a little, tottered, and fell.::洛里默身体微微摇晃，蹒跚几步后跌倒在地。
