abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？
available	ə'veləbl	ə'veɪləb(ə)l	adj::可获得的，可用的	available for::可用于…的；对…有效的；能参加…的¦available on::仅在…有效（付款）¦available from::可向…购买¦available with::向（指定银行）押汇¦available resources::可利用的资源¦commercially available::市场上可买到的¦available data::现有数据；可用数据¦available information::可利用信息¦make available::使有用；使可用到¦available water::有效水分¦space available::可用空间¦available energy::有效能；可用能¦available time::可用时间；有效时间¦available funds::可用基金；可动用的资金¦available memory::可用内存¦available capacity::有效容积；可用功率¦available material::可用物料；可用材料；良品可使用¦available work::[物]可用功，可利用工时¦available light::[美术][摄影术]自然光线	Tickets are available from the box office.::售票处有票出售。¦Meetings were held to update employees as soon as new information became available .::一有新的信息就开会告诉员工。¦Further building can continue when money is made available .::有了资金就可以继续进一步的施工。¦Every available space on the wall was covered in pictures.::墙上每一个可用的地方都挂上了画。
censor	'sɛnsɚ	'sensə	n&vt::审查，审查员；删改		The information given to the press was carefully censored by the Ministry of Defence.::发布给报界的信息经过了国防部的仔细审查。
census	'sɛnsəs	'sensəs	n::人口调查	census register::户籍登记簿¦census data::n. 户口普查资料¦census bureau::人口统计局，人口调查局；人口普查局¦population census::人口普查¦census taker::户口调查员¦census and statistics department::政府统计处；统计处	a traffic census::交通状况调查
centenary	sɛn'tɛnəri	sen'tiːnərɪ; -'ten-	a&n::百年的；百年纪念		Some say he was alluding to the centenary of the Fabian Society, founded in 1884.::有些人说他是暗示1884年成立的费边社成立一百年。
ceramic	sə'ræmɪk	sɪ'ræmɪk	adj::陶瓷的；陶器的	ceramic tile::n. 瓷砖（有釉或无釉的）¦ceramic material::n. 陶瓷材料；陶瓷原料¦piezoelectric ceramic::压电陶瓷¦ceramic coating::陶瓷涂层¦ceramic membrane::陶瓷膜¦ceramic filter::陶瓷过滤器¦ceramic fiber::陶瓷纤维¦ceramic powder::陶瓷粉¦ceramic glaze::n. 釉¦ceramic product::陶瓷制品¦glass ceramic::玻璃陶瓷；陶瓷平台¦ceramic pigment::n. 陶瓷颜料¦ceramic substrate::陶瓷；陶瓷基片；陶瓷衬底¦ceramic plate::陶瓷板¦ceramic capacitor::[电]陶瓷电容器¦ceramic bearing::陶瓷轴承¦ceramic wall::n. 陶瓷砖墙¦ceramic mosaic::陶瓷马赛克；陶瓷锦砖¦ceramic metal::金属陶瓷¦ceramic fibre::陶瓷纤维；耐火陶瓷纤维	This takes a little while to switch all of your plastic storage containers over to ceramic, glass or stainless steel but its definitely worthwhile.::把你所有的塑料存储容器换成陶瓷的，玻璃的，或者不锈钢的你会浪费你一点时间。 但这绝对是值得的。
cereal	'sɪrɪəl	'sɪərɪəl	n::各类粮食	cereal grains::粮谷；谷粒¦cereal crop::禾谷类作物，粮食作物	a bowl of breakfast cereal::一碗早餐麦片
ceremony	ˈsɛrəˌmoʊni	'serɪmənɪ	n::典礼，仪式；礼节	opening ceremony::开学典礼；开幕式；开幕仪式；开幕典礼¦wedding ceremony::n. 结婚典礼¦signing ceremony::签字仪式；签约仪式¦closing ceremony::闭幕典礼¦graduation ceremony::n. 毕业典礼¦award ceremony::颁奖仪式，颁奖典礼¦tea ceremony::茶道¦marriage ceremony::结婚仪式，结婚典礼¦inauguration ceremony::就职典礼¦launching ceremony::下水仪式；下水典礼¦solemn ceremony::隆重的典礼¦stand on ceremony::讲究客套；拘于礼节¦foundation stone laying ceremony::奠基仪式；奠基礼¦completion ceremony::竣工式，竣工仪式	a wedding ceremony::婚礼¦the opening ceremony of the Olympic Games::奥运会开幕式
certainty	'sɝtnti	'sɜːt(ə)ntɪ; -tɪn-	n::必然的事，必然，确实，肯定	with certainty::确定无疑地¦to a certainty::必定，肯定¦for a certainty::确实，确定无疑地¦certainty factor::可信度；确定性因素	The result is impossible to predict with any degree of certainty .::这一结果完全无法确切预测。
certificate	sɚˈtɪfɪkɪt; (for v.,) sɚˈtɪfɪˌket	səˈtɪfɪkɪt; (for v.,) səˈtɪfɪˌkeɪt	n::证书，执照	qualification certificate::资格证书¦registration certificate::登记证；注册证书；注册证明¦certificate of origin::[商]原产地证书¦inspection certificate::检验证明书；检查证明¦marriage certificate::结婚证书¦certificate of quality::品质证明书，质量证明书¦birth certificate::出生证明¦health certificate::健康证明书¦quality certificate::品质证明书；技师证明书¦deposit certificate::银行存款单¦certificate of registration::注册执照¦certificate of approval::合格证；批准证明书¦certificate authority::凭证管理中心；认证授权¦business registration certificate::商业登记执照¦graduation certificate::毕业证书¦valid certificate::有效证书；有效凭证¦death certificate::死亡证明¦acceptance certificate::验收证明书¦test certificate::试验证瞄；汽车（安全性能）证明¦identity certificate::身份证明书，身份证	a degree certificate::学位证书
certify	'sɝtə'fai	'sɜːtɪfaɪ	v::(发给证书)证明		The accounts were certified by an auditor.::这些账目经审计员核实过。
challenge	'tʃælɪndʒ	'tʃælɪn(d)ʒ	n&v::挑战；提出异议	meet the challenge::迎接挑战；满足要求¦rise to the challenge::接受挑战，奋起应付挑战¦take up the challenge::应战¦challenge cup::挑战杯；优胜杯；奖杯	They threw down the challenge that he couldn’t wash 40 cars in one hour (= invited him to try to do it ) .::他们激将他，说他不可能在1小时内擦洗40辆汽车。
chamber	ˈtʃeɪmbər	'tʃeɪmbə	n::房间；议院；贸易团体；弹膛	chamber of commerce::商会¦combustion chamber::[机]燃烧室¦red chamber::（加拿大议会）参议院¦anterior chamber::[医]前房¦chamber music::室内音乐¦international chamber of commerce::国际商会；国际工农商会¦air chamber::气囊¦vacuum chamber::真空室；压力室¦test chamber::试验箱；试验室¦chamber pressure::燃烧室压力¦bridal chamber::新房；洞房¦surge chamber::调压室，调节室¦chamber pot::夜壶；便壶¦working chamber::池窑的工作部¦inner chamber::内腔，内室¦mixing chamber::混合室；预燃室；搅拌间¦furnace chamber::炉腔¦anechoic chamber::消声室，无回音室¦cold chamber::冷却室；冷冻房¦heating chamber::加热室；高温室	the Queen’s private chambers::女王的寝宫
champagne	ʃæm'pen	ʃæm'peɪn	n::香槟酒	pink champagne::玫瑰香槟酒¦champagne bottle::凹底很深的酒瓶；香槟酒瓶	I drank a cup of champagne.::我喝了一杯香槟。¦The champagne is spilling out of the bottle.::香槟从瓶子中不断地溢出来。¦The champagne cork popped when he pulled it out.::他拔香槟酒的瓶塞时它砰的一声开了。
champion	'tʃæmpɪən	'tʃæmpɪən	n::战士；拥护者；冠军¦v::支持，拥护；保卫	olympic champion::奥运冠军；奥林匹克冠军¦defending champion::卫冕冠军¦open champion::公开(锦标)赛冠军¦reigning world champion::卫冕世界冠军	the world heavyweight boxing champion::世界重量级拳击冠军¦the Olympic champion::奥运会冠军
chant	tʃænt	tʃɑːnt	n::圣歌，赞美诗¦v::唱，歌颂	gregorian chant::格列高利圣咏（教皇格列高利一世采用，常无伴奏）	...a Gregorian chant.::…一首格列高利圣歌。
chaos	'keɑs	'keɪɒs	n::混乱，纷乱	in chaos::混乱；纷乱¦chaos theory::混沌理论¦chaos and confusion::混乱与浑沌¦deterministic chaos::[数]决定性混沌；命定混沌（等于chaos）	The country was plunged into economic chaos.::这个国家陷入了经济大混乱。
chapel	'tʃæpl	'tʃæp(ə)l	n::小教堂；殡仪馆	sistine chapel::（罗马梵蒂冈的）西斯廷教堂¦chapel hill::教堂山（美国一小镇）	Bethan goes to chapel every Sunday.::贝唐每个星期天都去教堂做礼拜。
characteristic	,kærəktə'rɪstɪk	kærəktə'rɪstɪk	a&n::特有的，表示特征的；特性	characteristic of::特有的；表示…特性的¦dynamic characteristic::动态特性；负载特性曲线¦characteristic curve::特性曲线；特征曲线¦technical characteristic::技术特性¦flow characteristic::流动特性；量特性；怜特性¦frequency characteristic::频率特性¦characteristic value::特征值，特性值¦performance characteristic::工作特性¦load characteristic::负荷特性；负载特性；负载特性曲线¦quality characteristic::质量特性；品质特性¦characteristic equation::特征方程；特性方程¦response characteristic::[计]响应特性¦operating characteristic::运行特性¦characteristic impedance::特性阻抗¦physical characteristic::物理特性；体型特征¦static characteristic::静态特性¦transfer characteristic::传输特性；（显象管）信号-光特性¦characteristic function::特征函数¦characteristic line::特性线¦characteristic feature::性能特点	Genes determine the characteristics of every living thing.::基因决定每个生物的特征。
characterize	'kærəktə'raɪz	'kærəktəraiz	v::表示的特征		Bright colours characterize his paintings.::明亮的色彩是他绘画作品的特点。
charge	tʃɑrdʒ	tʃɑːdʒ	v::指控；控告；冲锋；要价；充电	in charge::负责，主管；在…看管下¦in charge of::负责；主管¦charge of::负责；管理¦free of charge::免费¦take charge::掌管，负责；主持；不受控制¦charge for::索价，要价；为…收费¦take charge of::接管，负责¦person in charge::负责人¦service charge::服务费¦electric charge::n. 电荷（等于charge，electricity）；电费¦charge for trouble::手续费¦space charge::空间电荷¦charge density::[化]电荷密度¦no charge::免费；不需付钱¦charge transfer::[物]电荷转移¦charge with::vt. 装；控告¦take in charge::逮捕；负责照料；引为己责¦extra charge::附加费；附加负载¦charge distribution::电荷分布¦charge at::冲击；猛攻	Even local nurseries charge $150 a week.::即便当地的托儿所每周也要收$150的费用。
charity	'tʃærəti	'tʃærɪtɪ	n::赈济款、物；慈善团体；博爱	in charity::◎出于恻隐之心¦charity work::慈善工作¦out of charity::出于仁慈¦charity event::慈善活动；慈善赛；慈善事件¦charity begins at home::慈善要从家庭做起；仁爱始于家¦charity sale::义卖¦charity school::n. 慈善学校；贫民学校	Several charities sent aid to the flood victims.::有几家慈善机构已向洪灾灾民送去了救援物资。
charm	tʃɑrm	tʃɑːm	n&v::吸引力，可爱之处，迷人；行魔法	artistic charm::艺术魅力¦like a charm::效验如神地；异常成功地¦lucky charm::幸运符；护身符	Joe’s boyish charm::乔身上的稚趣¦She turned on the charm (= used her charm ) to all the men.::她对所有那些男人都施展魅力。¦The room had no windows and all the charm of a prison cell (= used to say that something has no charm ) .::这房间没有窗，简直就是牢房。
