adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
assessment	ə'sɛsmənt	ə’sesmənt	n::评估； 评价	risk assessment::风险估计，危险率估计¦environmental impact assessment::环境影响评价¦assessment method::评价法¦environmental assessment::环境评价；环境评估¦quantitative assessment::定量评定（评价）¦life cycle assessment::生命周期研究法¦damage assessment::损坏情况估计¦assessment criteria::评估准则；评价准则¦security assessment::可靠性估计¦conformity assessment::合格评定；符合性评估；型式评价¦formative assessment::形成性评价；形成性测试；教学评测¦assessment process::评价程序，评估过程¦technology assessment::技术评估¦hazard assessment::危害评价，灾害评估¦portfolio assessment::档案评估¦qualitative assessment::质量评定¦preliminary assessment::初步评估；预备评估¦assessment center::评价中心，评估中心¦needs assessment::需求评估¦tax assessment::征税估值；税额查定；确定税款金额	a reading assessment test::阅读评估测试
assignment	ə'saɪnmənt	əˈsaɪnmənt	n::作业	assignment problem::指派问题；分配问题；分派问题；配置问题¦pole assignment::极点配置¦assignment method::转让方法；指定分配方法¦school assignment::学生作业；课题¦channel assignment::信道分配；通道分配；信道指配¦assignment operator::赋值运算符¦assignment statement::[计]赋值语句；[计]指派陈述¦value assignment::赋值	a history assignment::历史作业
assistance	ə'sɪstəns	əˈsɪstəns	n::帮助，援助	technical assistance::技术援助¦financial assistance::财政资助¦mutual assistance::互相帮助；互相援助¦legal assistance::法律救助¦social assistance::社会救助；社会援助¦medical assistance::医疗救助¦development assistance::发展援助¦judicial assistance::司法援肋¦be of assistance::有帮助；有好处¦public assistance::公共援助；政府授助；官方援助	We offer financial assistance to students.::我们向学生提供经济援助。¦Can I be of any assistance (=  can I help you  ) ?::我能帮什么忙吗？
attachment	ə'tætʃmənt	əˈtætʃmənt	n::依恋	emotional attachment::情绪依恋；情感依附¦attachment point::阀值；附着点；附保点；接合点	But while we all have this need for attachment, the way we show it differs.::然而尽管我们都拥有这种依恋需要，但是我们表现出来的方式是不一样的。
attendance	ə'tɛndəns	ə’tendəns	n::出席人数	attendance at::出席¦in attendance::出席；值班；负责¦attendance record::考勤记录¦school attendance::就学；就读；上课出勤¦attendance rate::出勤率¦check on work attendance::考勤	We have an average attendance of 4,000 fans per game.::每场比赛平均有4,000名球迷来观战。¦Last year’s fair saw attendance figures of 32,000.::去年的交易会有3.2万人参加。
attending	ə'tɛndɪŋ	ə'tendɪŋ	n::主治医生	attending physician::主治医生¦attending doctor::主治医师	
bandwagon	'bændwæɡən	ˈbændwægən	n::时尚，潮流	on the bandwagon::[口语](选举中)站在有胜利希望的一边，支持占优势的一方；看风使舵，随大流¦jump on the bandwagon::站在某人一边；赶浪头；一窝蜂做某事，跟随潮流	The keep-fit bandwagon started rolling in the mid-80s.::八十年代中期，健身热潮开始涌现。
celebrity	sə'lɛbrəti	səˈlebrəti	n::名人		a sporting celebrity::体育明星¦He’s a national celebrity.::他是全国有名的人物。¦We invited a number of minor celebrities (= people who are not very famous ) .::我们邀请了一些小有名气的人物。¦celebrity chef/gardener etc::名厨/名人园艺师等
cessation	sɛ'seʃən	seˈseɪʃn	n::中止		He would not agree to a cessation of hostilities.::他不会同意敌对状态的停止。
charge	tʃɑrdʒ	tʃɑ:dʒ	v::充电	in charge::负责，主管；在…看管下¦in charge of::负责；主管¦charge of::负责；管理¦free of charge::免费¦take charge::掌管，负责；主持；不受控制¦charge for::索价，要价；为…收费¦take charge of::接管，负责¦person in charge::负责人¦service charge::服务费¦electric charge::n. 电荷（等于charge，electricity）；电费¦charge for trouble::手续费¦space charge::空间电荷¦charge density::[化]电荷密度¦no charge::免费；不需付钱¦charge transfer::[物]电荷转移¦charge with::vt. 装；控告¦take in charge::逮捕；负责照料；引为己责¦extra charge::附加费；附加负载¦charge distribution::电荷分布¦charge at::冲击；猛攻	The shaver can be charged up.::这把剃须刀是可充电的。
chase		tʃeɪs	v::追逐	chase after::追逐；追赶¦cut to the chase::开门见山；提到关键问题；转入（或切入）正题¦jpmorgan chase::摩根大通公司¦chase the dragon::吸食海洛因，服用毒品¦chase down::找出¦chase off::五同花；赶走¦chase away::赶走；驱逐¦car chase::飞车追逐；汽车追赶¦in chase of::adj. 追求（追赶）¦wild goose chase::徒劳的搜索；劳而无功的事¦chase up::追上¦chase bank::大通银行¦jpmorgan chase bank::美国摩根大通银行	The dogs saw him running and chased him.::那些狗看到他在跑就追他。¦kids chasing around the house::在屋里追逐嬉戏的孩子们
circulation	,sɝkjə'leʃən	ˌsɜ:kjəˈleɪʃn	n::循环	blood circulation::血液循环，血循环¦in circulation::在流通中；在从事社交活动的¦water circulation::冷水环流；水流循环¦lost circulation::井漏；循环液漏失¦air circulation::空气循环；空气环流¦reverse circulation::反循环；逆行循环¦natural circulation::自然循环¦commodity circulation::商品流通¦general circulation::环流；大气环流¦atmospheric circulation::大气环流；大气循环¦systemic circulation::体循环¦circulation pump::循环泵¦internal circulation::内循环¦circulation cooling::循环冷却¦circulation process::循环流程¦extracorporeal circulation::[外科学]体外循环¦closed circulation::闭合环流，封闭环流；闭锁循环，闭型循环¦circulation rate::循环率¦circulation department::流通阅览部；发行部¦pulmonary circulation::肺循环；小循环	Exercise improves the circulation.::运动能促进血液循环。
civil	'sɪvl	ˈsɪvl	adj::公民的，市民的	civil law::民法¦civil aviation::民用航空¦civil engineering::土木工程¦civil war::内战¦civil society::公民社会；民间团体¦civil service::公务员；行政部门¦civil procedure::民事诉讼；民事诉讼法；民事诉讼程序¦civil liability::民事责任¦civil servant::公务员；文职人员¦civil administration::n. 民政¦civil code::[法]民事法典¦civil action::n. 民事诉讼¦civil construction::土木建筑¦civil procedure law::民事诉讼法¦civil case::民事案件¦civil aircraft::民航机，民用飞机¦civil right::民权，民事权利¦civil building::[建筑]民用建筑¦american civil war::n. 美国内战¦ministry of civil affairs::民政部	They were married in a civil ceremony in May.::他们在五月份举行了世俗婚礼。
civilized	sɪvlˌaɪzd	ˈsɪvəlaɪzd	adj::文明的；有教养的		Such things should not happen in a civilized society.::文明社会不应该有这种事情发生。
civilian	sə'vɪlɪən	səˈvɪliən	adj::平民百姓的	civilian use::民用¦civilian casualties::平民伤亡；平民死伤；民众伤亡¦civilian population::平民；平均人口¦transferred to civilian work::转业¦civilian construction::民用建筑¦civilian worker::民工；农民工	...the country's civilian population.::…这个国家的平民人口。¦...civilian casualties.::…平民伤亡。
civic	'sɪvɪk	ˈsɪvɪk	adj::城市的；城镇的；市民的	civic education::公民教育¦civic center::市中心；市府大厦¦civic centre::市中心；市政大厅¦civic virtues::n. 公民道德¦civic building::民用房屋，民用房屋	Jackson spent the day meeting with local religious and civic leaders.::杰克逊那天与当地的宗教领袖和市领导会面。
contemplate	'kɑntəmplet	ˈkɒntəmpleɪt	v::沉思；深思熟虑		Jack went on vacation to contemplate his future.::杰克去度假，仔细思考一下他的未来。
deadly	'dɛdli	ˈdedli	adj::致命的	deadly poison::n. 致命毒药¦deadly sins::不可饶恕的罪行¦seven deadly sins::七宗罪，七大罪	a deadly poison::致命的毒药¦a deadly weapon::致命武器
demonstrate	'dɛmən'stret	ˈdemənstreɪt	v::证明，证实		The study demonstrates the link between poverty and malnutrition.::这项研究证明了贫困与营养不良之间的联系。¦The government now has an opportunity to demonstrate its commitment to reform.::政府现在有机会表明改革的决心了。
dismal	'dɪzməl	ˈdɪzməl	adj::糟糕的	dismal science::忧郁的科学；悲观科学	The team’s record so far is pretty dismal.::该队到目前为止的成绩很糟糕。¦Her scheme was a dismal failure .::她的计划彻底失败。
downside	'daʊnsaɪd	ˈdaʊnsaɪd	n::负面	downside risk::跌价风险；下跌风险¦on the downside::下降中，衰落中，衰减中	Digital cell phones offer more security, but the downside is that they have less power.::数字手机安全性更好，但其劣势在于电力不足。
ease	iz	i:z	v::缓解，减少	ease oneself::◎自我安慰，泄愤，出气；抛弃心头的烦闷¦at ease::安逸，自由自在；舒适¦with ease::熟练地；不费力地¦ease of::使解脱；解除¦ease of use::易用性；简易操作¦ill at ease::不安的；感到拘束¦ease in::（小心翼翼地）使逐步适应¦feel at ease::感到心安理得；感到轻松¦ease up::v. 缓和；放松；减轻¦ease the tension::缓和紧张状况；缓和紧张局势¦ease off::减轻；缓和；放松¦ease back::回软；售后回租；轻轻拉回¦feel ill at ease::不畅快；局促不安；心神不宁	measures to ease congestion in the city::改善城市拥堵状况的措施¦Her breathing had eased.::她的呼吸平缓下来。
emerge	ɪ'mɝdʒ	iˈmɜ:dʒ	v::出现，浮现	emerge from::自…出现；从…显露出来¦emerge in endlessly::层出不穷	The flowers emerge in the spring.::花儿在春天开放。
essay	'ɛse	‘esei	n::小论文	essay test::n. 申论方式测验	We asked Jason to write an essay about his hometown.::我们让杰森写一篇关于他家乡的短文。
essence	'ɛsns	ˈesns	n::本质，实质	in essence::本质上；其实；大体上¦of the essence::非常重要的¦essence of beauty::美的本质¦essence of chicken::鸡精	In essence his message was very simple.::实质上他想表达的意思很简单。
fake	feɪk	feɪk	adj::假的	fake commodity::假货¦head fake::以头部做出假动作¦fake fur::人造革；假裘皮；仿造皮毛	fake fur::人造毛皮¦a fake ID card::假身份证¦a fake 20 dollar bill::一张20美元的伪钞
fertile	ˈfɝtəl; (canadian) ˈfɝˌtaɪl	ˈfɜ:taɪl	adj::肥沃的，能生产的	fertile soil::沃土，肥沃的土壤¦fertile land::肥沃的土地；良田	800 acres of fertile cropland::800英亩的肥沃耕地
formula	'fɔrmjələ	ˈfɔ:mjələ	n::准则	empirical formula::经验式；实验式¦infant formula::婴儿配方；婴儿配方食品¦formula one::一级方程式赛车¦general formula::通式；一般公式¦mathematical formula::数学公式¦computational formula::计算公式¦approximate formula::近似公式；近真公式¦baby formula::婴幼儿配方奶粉；婴幼儿配方¦recurrence formula::递推公式；递归公式；循环公式¦molecular formula::n. 分子式¦chemical formula::化学式¦structural formula::结构式；分子式¦recursion formula::递推公式；[数]递归公式¦rational formula::有理公式¦taylor formula::n. 泰勒公式¦interpolation formula::[计]插值公式¦euler's formula::欧拉公式¦check formula::验算公式¦asymptotic formula::[数]渐近公式¦exact formula::精密公式	We’re still searching for a peace formula.::我们仍在寻找和平方案。¦There is no magic formula (= a method that is certain to be successful ) that will transform sorrow into happiness.::没有妙方可以化悲为喜。¦With viewing figures up a million, the programme has a winning formula .::收视人数增加了一百万，这个节目的确拥有吸引观众的法宝。
