textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
Christmas		ˈkrɪsməs	n::圣诞节	merry christmas::圣诞快乐¦christmas day::圣诞节¦on christmas::在圣诞节；在圣诞那天¦at christmas::在圣诞节；圣诞节时；在圣诞节期间¦christmas tree::圣诞树¦christmas eve::圣诞节前夕（12月24日）¦on christmas day::在圣诞节那天¦christmas season::圣诞节节日¦christmas gift::圣诞礼物；圣诞礼品¦christmas time::圣诞时光；圣诞节假期¦christmas present::圣诞礼物¦christmas party::n. 圣诞晚会¦father christmas::耶诞老人（等于Santa Claus）¦celebrate christmas::庆祝圣诞¦christmas card::圣诞贺卡；耶诞卡¦christmas shopping::圣诞节购物；圣诞采购¦white christmas::白色圣诞节（指有雪的）¦christmas holidays::圣诞节假日¦christmas carol::[基督教]圣诞颂歌¦christmas night::圣诞节的晚上	Are you going home for Christmas?::你回家过圣诞节吗？¦a Christmas present::圣诞礼物¦the Christmas holidays::圣诞节假期¦Merry Christmas and a happy New Year everyone!::祝大家圣诞快乐、新年快乐！
fool	ful	fuːl	n::蠢人；傻瓜¦v::愚弄¦adj::愚蠢的	april fool::愚人节；愚人节中受愚弄者¦fool around::闲荡；游手好闲；干无用的事¦make a fool of::愚弄；欺骗¦no fool::聪明人；绝不是傻瓜；精明机敏¦fool with::戏弄¦fool around with::与不三不四的人鬼混（等于fool about with）	What a fool she had been to think that he would stay.::她竟然那么傻，以为他会留下来。¦Like a fool, I accepted straight away.::我像个傻子，立刻就接受了。¦You silly old fool !::你这个大傻瓜！¦Even art experts were fooled.::连艺术品专家也被骗了。¦What a damn fool thing to do!::这样做真是愚蠢得要死！
lie		laɪ	v::平躺；处于	lie in::在于…；睡懒觉；待产¦lie down::躺下¦lie on::位于；压迫；依赖；折磨¦lie with::是…的权利；是…的责任；取决于¦lie low::潜伏；平卧；保持沉默¦tell a lie::撒谎¦lie about::无所事事；闲荡¦white lie::无恶意的谎言；小谎话¦lie ahead::即将来临；在前面¦lie in bed::卧床¦lie algebra::李代数，李氏代数¦lie fallow::休闲；潜伏¦lie idle::被搁置不用¦lie behind::为某事之理由，是……的原因¦lie back::倚靠在椅上；向后靠，休息¦lie detector::测谎仪¦big lie::大骗局，弥天大谎¦live a lie::做人虚伪；过欺骗人的生活¦lie under::蒙受；受…的统治¦lie by::躺在…边上；被搁置不用；近在手边	Don’t lie in the sun for too long.::不要在日光下躺太长时间。¦The town lies in a small wooded valley.::该城镇坐落于一个林木茂盛的山谷中。¦The Tasman Sea lies between Tasmania and Australia.::塔斯曼海位于塔斯马尼亚和澳大利亚之间。
novel	ˈnɑːvl	'nɒv(ə)l	n::（长篇）小说	historical novel::历史小说¦gothic novel::哥特小说；哥特式小说¦river novel::长篇小说¦saga novel::长篇小说；家世小说¦full-length novel::长篇小说；足本小说，未经删节的小说	a novel by Jane Austen::简·奥斯丁的小说¦It took Vikram Seth three years to write his 1,349-page novel ‘A Suitable Boy’.::维克拉姆·塞斯花费三年时间写成了他那部1,349页的小说《如意郎君》。
eve		iːv	n::（尤指宗教节假日的）前夕；前夜	christmas eve::圣诞节前夕（12月24日）¦on the eve::前夜¦on the eve of::在…的前夜¦new year's eve::除夕	We’re arriving on Christmas Eve.::我们将在平安夜到达。¦a New Year’s Eve party::除夕之夜的派对
bookstore	bʊkstɔr	'bʊkstɔː	n::书店	online bookstore::在线网上书店	He lit upon some jest books in the bookstore.::他在书店偶然发现了一些笑话集。¦You can find these books in any local bookstore.::你在当地的任一所书店都能找到此类书。¦The technology bookstore: Browse for books on these and other technical topics.::技术书店：浏览关于这些主题和其他技术主题的图书。
dead	dɛd	ded	adj::死的；失去生命的	dead on::adj. 完全正确的；十分精确的（等于dead-on）¦dead body::死尸¦dead against::正对着；竭力反对¦dead sea::死海¦dead end::死胡同，尽头¦dead of night::深夜；夜深人静的时候¦dead man::冗员；[口]空瓶子¦dead zone::死区（电波不能到达的地区）；盲区；静区¦dead time::[化]停滞时间；[经]窝工时间¦dead load::恒载；静负荷¦on the dead::[美国俚语]当真，一点不假；老实说¦dead horse::预付的工资；旧债；无益的事¦dead angle::n. 死角¦dead center::死点；[机]静点¦dead dog::n. 没用的人，废物；无用的东西¦dead set::决定性攻击；猛烈攻击¦dead space::[解]死腔；[解]无效区；[电子]无信号区¦dead ahead::正前方¦dead fish::死鱼¦dead band::死区；无控制作用区	Her mother had been dead for ten years.::她母亲去世十年了。¦Police are trying to contact the family of the dead man.::警方在设法与死者的家属联系。¦a pile of dead leaves::一堆枯叶¦the dead body of a young soldier::一名年轻士兵的尸体¦Two men were shot dead by terrorists.::两名男子遭恐怖分子枪杀。¦Magnus was found dead in his car.::马格纳斯被人发现死在他自己的车里。¦One man is still missing, presumed dead .::仍有一人失踪，被推定已经死亡。¦He suddenly had a heart attack and dropped dead .::他突发心脏病猝死。¦She was pronounced dead on arrival at the hospital.::到达医院时她被宣告已经死亡。¦His fellow climbers had left him for dead on the mountain.::他的登山伙伴以为他已死，便把他留在山上走了。¦We didn’t know if she was dead or alive.::我们不知道她是死是活。¦When they found him he was more dead than alive .::他们发现他的时候，他已奄奄一息。¦Her parents were long dead .::她父母早就去世了。
business	ˈbɪznɪs	ˈbɪznɪs	n::生意；商业	business card::名片；商务名片¦in business::经商；在经营；在商界¦business philosophy::经营理念，经营哲学¦business management::企业管理；商务管理¦business development::商业开发¦business enterprise::工商企业；企业机构¦international business::国际商业；国际企业¦do business::经商¦business process::业务流程；业务处理¦new business::新业务¦business model::商业模式；经营模式；业务模式¦business scope::营业范围¦good business::好生意；有意义的业务往来¦on business::为了公事，出差¦small business::小型企业，小本生意¦business accounting::经济核算；商业会计¦business administration::企业管理；经营管理¦doing business::做生意；经营商业¦business strategy::经营策略；商业策略；企业发展战略¦business center::商业中心	Students on the course learn about all aspects of business.::这门课程的学生要学习商业活动的各个方面。¦Carl began in the music business by running a recording studio.::卡尔是从经营录音棚开始干音乐这一行的。¦We do business with a number of Italian companies.::我们和一些意大利公司做生意。¦He has a wide range of business interests.::他的生意面很广。
punish	'pʌnɪʃ	'pʌnɪʃ	v::处罚；惩罚	punish for::v. 处罚，惩罚¦punish with::用...惩罚	Smacking is not an acceptable way of punishing a child.::要惩罚孩子，不应该用打的方式。¦He promised to punish severely any officials found guilty of electoral fraud.::他承诺要严惩任何在选举中有欺诈行为的官员。¦They deserve to be punished for putting passengers at risk.::他们置乘客于危险之中，理应受到惩罚。¦I felt I was being punished for what my mother had done.::我觉得自己在为妈妈的所作所为接受惩罚。
warn	wɔrn	wɔːn	v::警告；告诫	warn of::警告某人某事¦warn against::警告（...）不要；提醒（...）提防¦warn about::就...提出警告	‘Be careful, the rocks are slippery,’ Alex warned.::“小心，岩石很滑。”亚历克斯提醒说。
present	prɪˈzɛnt;(for n.)ˈprɛznt	prɪˈzent;(for n.)ˈpreznt	n::礼物；现在¦adj::现在的	present oneself::出席¦at present::目前，现在¦present situation::现状¦at the present::目前；当前¦present condition::目前的状态¦present status::现状¦for the present::暂时，目前¦present something at someone::举枪对准某人瞄准，用(武器)对准某人¦present time::目前；现在时（时态）¦present at::出席；在场¦at the present time::目前¦birthday present::生日礼物¦present value::现值¦present with::赠（礼物）¦past and present::过去与现在¦live in the present::活在当下¦at the present stage::在现阶段；目前¦net present value::净现值，现在净价值；纯现价¦present itself::vt. 出现，呈现¦the present day::目前；当代	I’m looking for a present for Mark.::我在找一份礼物送给马克。¦Stop worrying about the past and live in the present.::别再为过去烦恼，好好地过眼前的日子。¦At the present time we have no explanation for this.::目前我们还无法解释这件事。
nobody	'nəubədi, -bɔdi	'nəʊbədɪ	pron::没有人	nobody could::没人能做到；那么别人也休想¦nobody else::没有其他人¦nobody home::无人在家；心不在焉¦nobody can stop::无人能阻止（歌词）¦a mere nobody::微不足道的人	I knocked on the door but nobody answered.::我敲了敲门，但没人应门。
warmth	wɔrmθ	wɔːmθ	n::温暖；暖和		She went further into the room, drawn by the warmth of the fire.::她被火的温暖吸引着，走进了房间。
spread	sprɛd	spred	n::蔓延；传播¦v::传播；展开	spread oneself::◎直挺挺地躺卧；平伸四肢¦spread out::展开；铺开；伸张¦spread spectrum::扩展频谱¦spread over::传遍，延续；遍布于…¦spread across::传遍；席卷¦spread around::分散；扩散¦point spread::分差；让分¦fire spread::火蔓延，火焰蔓延；火势蔓延¦spread spectrum communication::扩展频谱通信，扩频通信¦spread abroad::传播¦flame spread::火焰传播；火焰蔓延；展焰性¦spread knowledge::传播知识¦energy spread::能量扩展度；能量散布；能量分散¦delay spread::延迟扩展¦credit spread::信用差价¦spread foundation::扩展式地基；扩展底座¦spread risk::分散风险¦spread about::分散，撒播¦bid-ask spread::买卖价差；递盘虚盘差价¦spread sheet::棋盘式对照表，总分析表	the rapid spread of cholera in Latin America::霍乱在拉丁美洲的迅速传播¦News of the explosion spread swiftly.::发生爆炸的消息迅速传播开来。¦Papers and photos were spread across the floor.::地板上摊满了报纸和照片。
