abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
appointment	ə'pɔɪntmənt	ə'pɒɪntm(ə)nt	n::职位；约会::an arrangement for a meeting at an agreed time and place, for a particular purpose	make an appointment::约会，预约¦make an appointment with::与某人约会¦have an appointment::有约会¦appointment system::委任制¦by appointment::按照约定¦letter of appointment::委任书，聘书¦appointment book::记事簿；预约簿	All consultations are by appointment only .::就诊必须预约。	n::[管理]任命；约定；任命的职位::convention, bond, nomination	adj::appointed:: 约定的，指定的¦adj::appointive:: 任命的；委派的¦n::appointee:: 被任命者¦v::appointed:: 任命；指定；约定时间，地点（appoint 的过去分词形式）¦vi::appoint:: 任命；委派¦vt::appoint:: 任命；指定；约定					
appraisal	ə'prezl	ə'preɪz(ə)l	n::估价，评价；鉴定::a statement or opinion judging the worth, value, or condition of something	performance appraisal::成绩评价，业绩评价¦real estate appraisal::房地产评估；不动产评估¦assets appraisal::资产评估¦project appraisal::项目评估¦appraisal report::评估报告；[经]估价报告¦land appraisal::土地评价，土地估价；土地鉴定¦investment appraisal::投资评估；投资评价¦resource appraisal::资源估价¦staff appraisal::员工评估	What is needed in such cases is a calm appraisal of the situation.::在此类情况下需要的是对形势的冷静估计。	n::评价；[经管]估价（尤指估价财产，以便征税）；[数]估计::evaluation, valuation, estimation, computation, assessment, calculation	n::appraiser:: 鉴定人，评价人；估价官¦v::appraising:: 鉴定；估价；评价¦vt::appraise:: 评价，鉴定；估价		 ap(给， 向) + prais(价格) + al → 给定价 → 评价			
appreciable	ə'priʃəbl	ə'priːʃəb(ə)l; -ʃɪə-	adj::可见的；明显的::large enough to be noticed or considered important		There’s no appreciable change in the patient’s condition.::病人的状况没有明显改变。	adj::可感知的；[经]可评估的；相当可观的::palpable, perceptible	adv::appreciably:: 明显地；相当地；可察觉地					
appreciate	ə'priʃɪet	ə'priːʃɪeɪt; -sɪ-	v::欣赏，感激；涨价::used to thank someone in a polite way or to say that you are grateful for something they have done		Thanks ever so much for your help, I really appreciate it.::多谢你的帮助，我真的很感激。¦I appreciate your concern , but honestly, I’m fine.::谢谢你关心，不过说真的，我很好。¦I’d appreciate it if you let me get on with my job.::如果你能让我继续工作，我会非常感激。	vt::欣赏；感激；领会；鉴别::enjoy, see, grasp¦vi::增值；涨价::value added, rise in price	adj::appreciative:: 感激的；赏识的；有欣赏力的；承认有价值的¦adv::appreciatively:: 欣赏地，赞赏地；感激地¦n::appreciation:: 欣赏，鉴别；增值；感谢	disdain	 ap(向) + preci(价值) + ate → 对价值予以肯定 → 赏识			
apprehension	,æprɪ'hɛnʃən	æprɪ'henʃ(ə)n	n::理解；忧虑::anxiety about the future, especially about dealing with something unpleasant or difficult		a feeling of apprehension::担忧的心情¦I woke before the alarm, filled with apprehension.::我忧心忡忡，闹钟没响就醒了。	n::理解；恐惧；[法]逮捕；忧惧::grasp, understanding, fear, comprehension	adj::apprehensive:: 忧虑的；不安的；敏悟的；知晓的¦adj::apprehensible:: 可理解的，可了解的¦n::apprehensiveness:: 领悟力；忧虑感¦vi::apprehend:: 理解；担心¦vt::apprehend:: 理解；逮捕；忧虑					
apprentice	ə'prɛntɪs	ə'prentɪs	n::学徒::¦v::使当学徒::		The apprentice lingered his work.::这个徒弟磨洋工。¦His apprentice always leaves the tools about.::他的徒弟老是乱放工具。¦That would be good for my apprentice to have, complementary.::补充说一下，那会是成为我徒弟的优势。	n::学徒；[劳经]生手::freshman, fresh hand	n::apprenticeship:: 学徒期；学徒身分					
approach	ə'protʃ	ə'prəʊtʃ	v::接近，着手处理::to move towards or nearer to someone or something¦n::接近；方法；途径::a method of doing something or dealing with a problem	new approach::新方案；新做法¦an approach to::学习...的入门；学习...的途径¦basic approach::基本方法¦approach with::以…方式处理；向…提出建议¦design approach::设计方法；设计方式¦research approach::研究途径；研究方案¦analysis approach::分析方法；分析研究¦systematic approach::系统观点，系统研究法¦make an approach to::对…进行探讨¦analytical approach::分析方法¦process approach::过程研究法¦alternative approach::变换方法¦system approach::系统方法¦holistic approach::整体分析，整体研究¦direct approach::直接法；直接进场；直接接近法¦approach channel::进港航道；引水渠¦pragmatic approach::实际的方法；重实效的方法¦experimental approach::实验研究法¦systems approach::系统方法；系统论方法¦income approach::收益法；所得方法；入息计算法	As I approached the house, I noticed a light on upstairs.::我走近那幢房子的时候注意到楼上有灯光。¦She heard footsteps approaching.::她听到有脚步声走过来。	n::方法；途径；接近::method, way, system, mechanism, medium¦vt::接近；着手处理::border, go on for¦vi::靠近::come near to, draw near	adj::approachable:: 亲切的；可接近的¦n::approachability:: 可接近性；易接近					
appropriate	əˈpropriɪt	ə'prəʊprɪət	adj::合适的::correct or suitable for a particular time, situation, or purpose	as appropriate::酌情；[拉丁语]视情况而定¦appropriate time::适当时间¦if appropriate::任选地；如果有的话¦appropriate technology::适当的技术；适用技术¦be appropriate for::适合于¦appropriate authority::有关当局	The timing of the announcement was particularly appropriate .::通告发布的时机很合适。¦Where appropriate , I delegate as much work as possible.::只要合适，我就尽量把工作分派出去。¦Mark box 1 or 2, as appropriate .::把方框1和2中的合适者标出来。¦I can assure you that appropriate action will be taken.::我向你保证会采取适当的行动。	adj::适当的::suitable, proper, adequate, becoming¦vt::占用；拨出::engage, take up to	adv::appropriately:: 适当地；合适的；相称地¦n::appropriateness:: 适当；适合¦n::appropriator:: 占用者；擅用者		 ap(=to) + propr(自身的， 固有的) + iate → 变为自己的 → 占有， 挪用			
approval	əˈpruvl	ə'pruːv(ə)l	n::允许，赞同；批准::when a plan, decision, or person is officially accepted	approval of::批准；同意¦examination and approval::审查准许¦for approval::提交批准¦approval process::审批流程；审批手续；批准流程¦prior approval::事先批准；预先审批；事前批准；事前许可；预先核准¦subject to approval::需经批准；以确认为准¦final approval::最后核准，最后批准¦approval authority::批准机关；核准权¦approval documents::批准文件¦written approval::书面许可，书面批准¦certificate of approval::合格证；批准证明书¦project approval::立项；项目批准；项目许可¦unanimous approval::一致通过¦official approval::正式批准；官方批准¦on approval::[俚]供试用的；包退换的¦type approval::型式批准¦approval procedure::审核手续；批准程序¦win approval::得到支持，获得通过¦seal of approval::批准印章¦loan approval::贷款批准；放款核准	The president has already given his approval to the plan.::总统已经批准了这个计划。¦It is just three months since we received official approval to go ahead with the project.::三个月前我们刚刚得到正式批准进行这个项目。¦A company cannot be sold without the approval of the shareholders.::没有股东的同意不能出售公司。¦The bill will be submitted for approval by Congress.::这项法案将提交国会通过。¦The President would appoint the Council of Ministers, subject to the approval of the National Assembly.::总统将任命内阁成员，但需经国民议会批准。¦The IMF has given its seal of approval to the government’s economic strategy.::国际货币基金组织已经同意该政府的经济策略。¦appointments requiring parliamentary approval::需经议会批准的任命	n::批准；认可；赞成::confirmation, authorization, validation, ratification	adj::approved:: 被认可的；经过检验的¦adj::approving:: 赞成的，满意的¦adv::approvingly:: 赞许地；满意地¦n::approver:: 批准者；承认者，赞成者¦v::approved:: 核准；认可（approve的过去式）¦v::approving:: 批准；认可（approve的现在分词形式）；赞成¦vi::approve:: 批准；赞成；满意¦vt::approve:: 批准；赞成；为…提供证据		 ap(向) + prov(试验) + al(名词后缀) → 向某人进行试验 → 赞成， 同意； 正式批准			
approximate	ə'prɑksɪmət	ə'prɒksɪmət	adj::近似的，约略的::an approximate number, amount, or time is close to the exact number, amount etc, but could be a little bit more or less than it¦v::接近，近似::to be close to a particular number	approximate solution::[计]近似解¦approximate calculation::近似计算¦approximate method::近似法¦approximate formula::近似公式；近真公式¦approximate value::近似值，近似价值；概算价值¦approximate expression::近似式¦approximate analysis::n. 近似分析¦approximate number::近似数，近似值；大概的数目¦approximate treatment::近似处理；近似计算	What is the approximate number of students in each class?::每个班大致有多少学生？¦These percentages are only approximate.::这些百分比仅仅是近似值。	vi::接近于；[数]近似于::close to, border on¦adj::[数]近似的；大概的::near, broad, round			 ap(向) + prox(近) + imate → 接近的 → 近似的			
apt	æpt	æpt	adj::聪明的；合适的；易于的::exactly right for a particular situation or purpose		‘Love at first sight’ is a very apt description of how he felt when he saw her.::用“一见钟情”来形容他见到她时的感觉再恰当不过。	adj::恰当的；有…倾向的；灵敏的::sensitive, correct, quick, prone, liable	adj::aptitudinal:: 聪明的；有倾向的¦adv::aptly:: 适宜地；适当地¦n::aptitude:: 天资；自然倾向；适宜¦n::aptness:: 倾向；才能；适合性		本身为词根， 意为“适应； 能力”			
aptitude	ˈæptɪˌtud, -ˌtjud	'æptɪtjuːd	n::才能；能力::a test that measures your natural skills or abilities	aptitude test::能力倾向测验；才能测验；能力测试¦have an aptitude for::有…的才能；有…的天性，有…的自然倾向¦academic aptitude::学术能力倾向；学术才能		n::天资；自然倾向；适宜::talent, endowment	adj::apt:: 恰当的；有…倾向的；灵敏的¦adj::aptitudinal:: 聪明的；有倾向的		 感激(gratitude)上苍让你具备这种才能(aptitude)			
attractive	ə'træktɪv	ə'træktɪv	adj::有吸引力的，讨人喜欢的::someone who is attractive is good looking, especially in a way that makes you sexually interested in them	attractive appearance::造型美观¦attractive force::引力，吸引力¦attractive designs::款式新颖；款式新奇¦attractive and durable::美观耐用	an attractive young woman::妩媚动人的年轻女子¦Women seem to find him attractive .::女性似乎觉得他很有吸引力。	adj::吸引人的；有魅力的；引人注目的::dramatic, absorbing	adj::attractable:: 可被吸引的¦adv::attractively:: 迷人地；有吸引力地；动人地¦n::attraction:: 吸引，吸引力；引力；吸引人的事物¦n::attractiveness:: 吸引力；迷惑力¦n::attractor:: [自] 吸引子；引起注意的人¦vi::attract:: 吸引；有吸引力¦vt::attract:: 吸引；引起					
attribute	ə'trɪbjut	ə'trɪbjuːt	v::归因于::If you attribute something to an event or situation, you think that it was caused by that event or situation¦n::属性；象征；标志::a quality or feature, especially one that is considered to be good or useful	attribute data::属性资料（数据）¦attribute value::属性值¦attribute name::属性名称¦product attribute::产品属性¦physical attribute::身体素质；物理属性	Women tend to attribute their success to external causes such as luck.::女性往往把她们的成功归因于外因，如运气。	n::属性；特质::particularity, idiosyncracy¦vt::归属；把…归于::ascribe to	adj::attributable:: 可归于…的；可归属的¦adj::attributive:: 定语的；归属的；属性的¦adv::attributively:: 属性地；修饰地¦n::attribution:: 归因；属性；归属¦n::attributive:: 定语		 at + tribut(给予) + e → 把…归于			
